original_sentence1,original_sentence2,processed_sentence1,processed_sentence2,label,char_count,word_count,sentence_count,avg_word_length,punct_count,punct_ratio,upper_count,upper_ratio,digit_count,digit_ratio,special_count,special_ratio,word_diversity,stopword_ratio,s2_char_count,s2_word_count,s2_sentence_count,s2_avg_word_length,s2_punct_count,s2_punct_ratio,s2_upper_count,s2_upper_ratio,s2_digit_count,s2_digit_ratio,s2_special_count,s2_special_ratio,s2_word_diversity,s2_stopword_ratio,cross_length_ratio,cross_length_diff,cross_word_ratio,cross_word_diff,cross_jaccard_similarity,cross_word_overlap_ratio,cross_char_2gram_overlap,cross_char_3gram_overlap,cross_char_4gram_overlap
A construction worker is standing next to a hole in the ground.,There is no hole in the ground.,a construction worker is standing next to a hole in the ground.,there is no hole in the ground.,0,63,12,1,4.333333333333333,1,0.015873015873015872,0,0.0,0,0.0,1,0.015873015873015872,0.9166666666666666,0.5,31.0,7.0,1.0,3.5714285714285716,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,1.0,0.7142857142857143,2.032258064516129,32.0,1.7142857142857142,5.0,0.38461538461538464,0.45454545454545453,0.41818181818181815,0.29411764705882354,0.2571428571428571
Three dogs run through shallow water.,The three dogs are swimming in the deep water.,three dogs run through shallow water.,the three dogs are swimming in the deep water.,0,37,6,1,5.333333333333333,1,0.02702702702702703,0,0.0,0,0.0,1,0.02702702702702703,1.0,0.16666666666666666,46.0,9.0,1.0,4.222222222222222,1.0,0.021739130434782608,0.0,0.0,0.0,0.0,1.0,0.021739130434782608,0.8888888888888888,0.4444444444444444,0.8043478260869565,9.0,0.6666666666666666,3.0,0.2727272727272727,0.375,0.3877551020408163,0.27586206896551724,0.22580645161290322
A young girl in a green and yellow jacket uses a microscope.,A young girl uses a tool.,a young girl in a green and yellow jacket uses a microscope.,a young girl uses a tool.,1,60,12,1,4.083333333333333,1,0.016666666666666666,0,0.0,0,0.0,1,0.016666666666666666,0.8333333333333334,0.4166666666666667,25.0,6.0,1.0,3.3333333333333335,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.04,0.8333333333333334,0.3333333333333333,2.4,35.0,2.0,6.0,0.36363636363636365,0.4,0.3157894736842105,0.27419354838709675,0.234375
two white dogs are running and jumping along a beach with the ocean behind them.,some dogs are running in and out of the ocean waves.,two white dogs are running and jumping along a beach with the ocean behind them.,some dogs are running in and out of the ocean waves.,0,80,15,1,4.4,1,0.0125,0,0.0,0,0.0,1,0.0125,1.0,0.3333333333333333,52.0,11.0,1.0,3.8181818181818183,1.0,0.019230769230769232,0.0,0.0,0.0,0.0,1.0,0.019230769230769232,1.0,0.6363636363636364,1.5384615384615385,28.0,1.3636363636363635,4.0,0.3,0.4,0.4264705882352941,0.32222222222222224,0.2708333333333333
A man on skis is performing a stunt at an event with many people in the background.,A man is watching a ski event.,a man on skis is performing a stunt at an event with many people in the background.,a man is watching a ski event.,0,83,17,1,3.9411764705882355,1,0.012048192771084338,0,0.0,0,0.0,1,0.012048192771084338,0.9411764705882353,0.5294117647058824,30.0,7.0,1.0,3.4285714285714284,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.8571428571428571,0.42857142857142855,2.7666666666666666,53.0,2.4285714285714284,10.0,0.15789473684210525,0.1875,0.3384615384615385,0.2,0.1276595744680851
the girl maybe calling her boyfriend,A girl makes a phone call.,the girl maybe calling her boyfriend,a girl makes a phone call.,1,36,6,1,5.166666666666667,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.3333333333333333,26.0,6.0,1.0,3.5,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.8333333333333334,0.3333333333333333,1.3846153846153846,10.0,1.0,0.0,0.1,0.16666666666666666,0.26666666666666666,0.20833333333333334,0.16666666666666666
Two men in flaming accented shirts wrangling a large black cow.,the men are gay,two men in flaming accented shirts wrangling a large black cow.,the men are gay,0,63,11,1,4.818181818181818,1,0.015873015873015872,0,0.0,0,0.0,1,0.015873015873015872,1.0,0.18181818181818182,15.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4.2,48.0,2.75,7.0,0.07142857142857142,0.09090909090909091,0.12280701754385964,0.04411764705882353,0.029411764705882353
The little girl wearing a black swimsuit is playing on a swing.,The little girl is outside.,the little girl wearing a black swimsuit is playing on a swing.,the little girl is outside.,0,63,12,1,4.333333333333333,1,0.015873015873015872,0,0.0,0,0.0,1,0.015873015873015872,0.9166666666666666,0.4166666666666667,27.0,5.0,1.0,4.6,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.4,2.3333333333333335,36.0,2.4,7.0,0.3333333333333333,0.36363636363636365,0.32142857142857145,0.25,0.20588235294117646
A girl wearing a black shirt and pink pants playing tennis on a tennis court.,a girl with a dress plays tennis,a girl wearing a black shirt and pink pants playing tennis on a tennis court.,a girl with a dress plays tennis,0,77,15,1,4.2,1,0.012987012987012988,0,0.0,0,0.0,1,0.012987012987012988,0.8,0.3333333333333333,32.0,7.0,1.0,3.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,2.40625,45.0,2.142857142857143,8.0,0.2,0.25,0.30158730158730157,0.2,0.1411764705882353
A group of women setting up to perform.,A group of men set up band equipment.,a group of women setting up to perform.,a group of men set up band equipment.,0,39,8,1,4.0,1,0.02564102564102564,0,0.0,0,0.0,1,0.02564102564102564,1.0,0.5,37.0,8.0,1.0,3.75,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1.0,0.375,1.054054054054054,2.0,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.2777777777777778,0.22807017543859648
several men loading a metal cannon,Several men load a cannon.,several men loading a metal cannon,several men load a cannon.,1,34,6,1,4.833333333333333,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.16666666666666666,26.0,5.0,1.0,4.4,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,1.0,0.2,1.3076923076923077,8.0,1.2,1.0,0.375,0.5,0.7419354838709677,0.5882352941176471,0.4594594594594595
